label,days,n,trade_rate,long,short,win_rate,profit_factor,exp_usd,exp_pct,avg_win_usd,avg_loss_usd,payoff,total_pct,max_dd_pct,sharpe_ann,t_stat,range_min,exit
5m / pre_london,1277,1277,1.0,676,601,0.46906812842599843,0.8754626449234904,-0.3215818324197248,-0.01437003803691078,4.75921535893156,-4.810368731563411,0.9893660183893583,-18.350538573135065,21.744868150427543,-0.7662258248310955,-1.7038075799526664,5,pre_london
5m / london_open,1277,1277,1.0,676,601,0.4706342991386061,0.8137991290210014,-0.5503837118245837,-0.02553758359138093,5.231580698835274,-5.6908579881656705,0.9192955982585616,-32.611494246193445,34.189063226065436,-1.19336744217883,-2.65361519771436,5,london_open
5m / london_mid,1277,1277,1.0,676,601,0.47768206734534063,0.8553923759160842,-0.661010180109628,-0.028101633356186154,7.489475409836071,-8.114977511244373,0.922920044998081,-35.88578579584972,42.441880425815995,-0.937909616039854,-2.085569895104306,5,london_mid
5m / london_close,1277,1277,1.0,676,601,0.49569303054032887,0.9938150885692872,-0.002051683633513653,-0.0018640315809992775,13.065481832543446,-12.84638198757764,1.0170553736591106,-2.3803683289360773,45.583853132174845,-0.03675931487560474,-0.0817393479692861,5,london_close
15m / pre_london,1277,1263,0.9890368050117463,664,599,0.4655581947743468,0.8966307832660277,-0.16680918448139606,-0.01064109340449418,4.457653061224489,-4.195229629629632,1.062552817071428,-13.43970096987615,19.072443659586558,-0.6307380766493595,-1.402143749335112,15,pre_london
15m / london_open,1277,1273,0.9968676585747847,672,601,0.47682639434406915,0.8324767861764047,-0.37796543597800575,-0.02091568726941892,4.86477759472817,-5.1562612612612595,0.9434699578310758,-26.625669893970286,31.35039505618394,-1.0580359313069128,-2.352035690527465,15,london_open
15m / london_mid,1277,1277,1.0,672,605,0.47611589663273296,0.8563036724755569,-0.599913860610807,-0.026893097189023978,7.254457236842107,-7.73811659192825,0.9374965019794796,-34.34248511038362,37.29976441330426,-0.9262667341093169,-2.0591100482592783,15,london_mid
15m / london_close,1277,1277,1.0,672,605,0.4894283476898982,0.9887418906201942,-0.010509005481599377,-0.003373814660809791,13.083231999999997,-12.562024539877301,1.041490721377606,-4.308361321854103,39.90514281111551,-0.06738557346067513,-0.14979951920006476,15,london_close
30m / pre_london,1277,1214,0.9506656225528582,624,590,0.44810543657331137,0.9422823775431397,-0.05046952224052758,-0.004853115732654509,3.964613970588242,-3.310477611940304,1.1975957657253398,-5.891682499442574,12.73858974011738,-0.3269212116499294,-0.7269538827919895,30,pre_london
30m / london_open,1277,1247,0.9765074393108849,638,609,0.4667201283079391,0.9459899311374832,-0.03748195669607149,-0.005629568525696245,4.688109965635736,-4.173263157894735,1.123367922956654,-7.020071951543217,16.059853709167083,-0.3154810412121618,-0.701515104201989,30,london_open
30m / london_mid,1277,1274,0.9976507439310884,649,625,0.48665620094191525,0.9253505429951262,-0.18777864992150775,-0.012703494592840057,7.04880645161291,-7.048149847094806,1.0000931598408587,-16.184252111278234,27.331319230342867,-0.4592567475175602,-1.0212199879028037,30,london_mid
30m / london_close,1277,1276,0.9992169146436961,649,627,0.49764890282131663,1.0260410837624259,0.3457601880877732,0.007460933885255013,12.836251968503943,-12.027815912636514,1.0672138700608211,9.520151637585396,29.447087811997367,0.1527968027183088,0.3397645214077384,30,london_close
