tf,trigger,k,n,win,pf,exp,total,t,hold,tgt,stp
5,close_out,1.5,26467,0.3539124192390524,0.7370777069955292,-0.28145691588711225,-7449.320192784199,-20.33119230339466,22.217667283787357,0.33759020667246004,0.6341104016322212
5,close_out,2.0,17814,0.31166498259795666,0.7514031038694053,-0.2912064186716654,-5187.5511422170475,-14.902643822283219,25.06988885146514,0.2907825305939149,0.678006062647356
5,close_out,2.6,6081,0.27100805788521626,0.7516925325696249,-0.316371587232778,-1923.855621962523,-8.44439852933339,25.993257687880284,0.24634106232527544,0.721920736720934
5,close_out,3.0,2177,0.25172255397335785,0.7494539897606304,-0.3504705931913895,-762.9744813776549,-5.058460129323478,26.81901699586587,0.21727147450620118,0.7413872301332108
5,close_out,3.5,434,0.2119815668202765,0.7521963107735951,-0.4426028839908572,-192.08965165203202,-2.244332652258023,28.47926267281106,0.16820276497695852,0.7880184331797235
5,close_back,1.5,27749,0.4392951097336841,0.6957854881109733,-0.33528280837458063,-9303.762649586239,-23.808822202201156,24.2695232260622,0.45187213953655986,0.5150816245630473
5,close_back,2.0,18059,0.3853480259150562,0.7331793723920829,-0.3370120416435665,-6086.100460041168,-16.622654024367872,29.640899274599924,0.37394097126086717,0.5876848108976134
5,close_back,2.6,6005,0.33771856786011656,0.7569212299355645,-0.3490116451133575,-2095.814928905712,-8.34827007007819,32.64029975020816,0.3134054954204829,0.6446294754371357
5,close_back,3.0,2159,0.31496062992125984,0.7906755435792187,-0.33649873717857526,-726.500773568544,-3.878470577375147,34.27281148679944,0.2806855025474757,0.6688281611857342
5,close_back,3.5,431,0.2923433874709977,0.8792692562777024,-0.2504172219255986,-107.92982264993302,-0.7272947924616164,39.501160092807424,0.2505800464037123,0.691415313225058
15,close_out,1.5,9696,0.3541666666666667,0.8285171822773133,-0.26498443584091474,-2569.2890899135095,-8.005712402220153,48.429249174917494,0.3018770627062706,0.6163366336633663
15,close_out,2.0,6614,0.3135772603568189,0.816786725638473,-0.3163141533778865,-2092.101810441341,-7.044327678762213,53.331569398246145,0.25385545811914123,0.6623828243120653
15,close_out,2.6,2700,0.2911111111111111,0.8872378139450343,-0.21316430526532923,-575.5436242163889,-2.107465863344691,58.47962962962963,0.20925925925925926,0.6896296296296296
15,close_out,3.0,1109,0.2551848512173129,0.8188175756087582,-0.3924548415005752,-435.23241922413786,-2.393943710408569,56.58250676284941,0.1740306582506763,0.7267808836789901
15,close_out,3.5,239,0.28451882845188287,1.1523100182441957,0.36942641185481095,88.29291243329982,0.6459745513309177,59.85355648535565,0.17154811715481172,0.698744769874477
15,close_back,1.5,9788,0.4678177360032693,0.8077670412696883,-0.2937164959314926,-2874.8970621774497,-8.976524149355193,56.35523089497344,0.42327339599509606,0.46475275847977116
15,close_back,2.0,6684,0.4096349491322561,0.8036650550884937,-0.355325753630325,-2374.997337265092,-7.488660186967156,65.49895272292041,0.34096349491322564,0.5390484739676841
15,close_back,2.6,2661,0.3626456219466366,0.8600800493080963,-0.28959152526760573,-770.6030487370988,-3.202683621105559,70.92634347989478,0.2701991732431417,0.5967681322810974
15,close_back,3.0,1102,0.3411978221415608,0.8837604756992551,-0.27031813429626994,-297.8905839944895,-1.5914676320309635,72.5,0.24319419237749546,0.6179673321234119
15,close_back,3.5,239,0.3472803347280335,1.0200050681087096,0.054130271186079576,12.937134813473019,-0.04568525564023388,81.90376569037657,0.23430962343096234,0.5899581589958159
60,close_out,1.5,2454,0.4062754686226569,0.930883539104613,-0.16792005608604824,-412.07581763516237,-1.6393050567621277,115.99225753871231,0.19722901385493072,0.4889975550122249
60,close_out,2.0,1626,0.38191881918819187,0.9656209025891923,-0.09024657765459423,-146.74093526637023,-0.6796156480373109,117.60147601476015,0.15436654366543665,0.5202952029520295
60,close_out,2.6,717,0.33751743375174337,0.8405584377409105,-0.45677180943237095,-327.50538736300996,-1.5686119261370532,117.45467224546722,0.10181311018131102,0.5578800557880056
60,close_out,3.0,336,0.35714285714285715,0.9850794941434098,-0.044188401530472564,-14.847302914238782,-0.1563489919803709,106.88988095238095,0.11011904761904762,0.5744047619047619
60,close_out,3.5,87,0.3448275862068966,0.8888932917415745,-0.37995791755090985,-33.05633882692916,-0.5097184677421309,98.9080459770115,0.12643678160919541,0.5747126436781609
60,close_back,1.5,2336,0.4871575342465753,0.838444742842099,-0.3490507118364628,-815.3824628499771,-3.3102925697070735,124.49058219178082,0.2936643835616438,0.285958904109589
60,close_back,2.0,1582,0.4424778761061947,0.801754474667546,-0.4830509964424393,-764.186676371939,-3.640305598589346,139.48798988621996,0.20986093552465235,0.32616940581542353
60,close_back,2.6,697,0.40746054519368724,0.7208740473659013,-0.7888769000760981,-549.8471993530404,-3.26536290826777,150.10043041606886,0.12482065997130559,0.3902439024390244
60,close_back,3.0,330,0.4636363636363636,1.0583756994836602,0.14743306324624714,48.652910871261554,0.49427644486526695,156.1969696969697,0.12727272727272726,0.32727272727272727
60,close_back,3.5,87,0.5402298850574713,1.371936220556457,0.934191825471655,81.27468881603399,1.3562999251448487,154.31034482758622,0.14942528735632185,0.25287356321839083
