range,exit,filter,stop,n,win,pf,exp,total,t,hold,tgt,stp
5,ny+60m,all,range_opp,1256,0.3996815286624204,0.8992886532480526,-0.2235270700636958,-280.75000000000193,-1.6381434269046542,31.42515923566879,0.0,0.3964968152866242
5,ny+60m,corr<=0.5,range_opp,760,0.4039473684210526,0.9594620635689957,-0.09134210526316143,-69.42000000000269,-0.8416689510228805,32.11184210526316,0.0,0.3960526315789474
5,ny+60m,all,none,1256,0.4538216560509554,0.876761116639605,-0.29974522292993955,-376.48000000000405,-1.950291764295029,44.056528662420384,0.0,0.0
5,ny+90m,all,range_opp,1272,0.37264150943396224,0.8935830771014933,-0.2669182389937107,-339.52,-1.6017981040251212,47.42138364779874,0.0,0.47562893081761004
5,ny+90m,corr<=0.5,range_opp,771,0.3735408560311284,0.9300963110657776,-0.17688715953307482,-136.38000000000068,-1.0890567505101143,48.13229571984436,0.0,0.47341115434500647
5,ny+90m,all,none,1272,0.45754716981132076,0.8644268859569075,-0.3971226415094348,-505.1400000000011,-1.9653105423667838,73.34119496855345,0.0,0.0
5,ny+2h,all,range_opp,1273,0.3644933228593873,0.9231734531398905,-0.2039120188531043,-259.5800000000018,-1.1025821010939434,62.336999214454046,0.0,0.5176747839748626
5,ny+2h,corr<=0.5,range_opp,772,0.36917098445595853,0.9739044592121737,-0.07019430051813638,-54.19000000000129,-0.4853005179496289,63.082901554404145,0.0,0.5181347150259067
5,ny+2h,all,none,1273,0.46190102120974075,0.8703731685146403,-0.42456402199529,-540.4700000000041,-1.855636795643633,103.28358208955224,0.0,0.0
5,ny_lunch,all,range_opp,1273,0.35742340926944227,0.9167061442310448,-0.22927729772191416,-291.8699999999967,-1.1560061205898478,76.36292223095052,0.0,0.5396700706991359
5,ny_lunch,corr<=0.5,range_opp,772,0.3639896373056995,0.9928853939947115,-0.019689119170983226,-15.19999999999905,-0.1931416132309231,76.96891191709845,0.0,0.5427461139896373
5,ny_lunch,all,none,1273,0.46897093479968577,0.8884222976612624,-0.38238020424194896,-486.770000000001,-1.5066336373213542,133.28358208955223,0.0,0.0
5,ny_close,all,range_opp,1262,0.3090332805071315,0.9537447851963322,-0.14663232963549755,-185.0499999999979,-0.6385058882193142,172.75356576862123,0.0,0.6307448494453248
5,ny_close,corr<=0.5,range_opp,765,0.3111111111111111,0.981495441831342,-0.05871895424836674,-44.920000000000556,-0.3256156755735371,174.0653594771242,0.0,0.6235294117647059
5,ny_close,all,none,1232,0.46185064935064934,0.9138190235720725,-0.38620129870130243,-475.8000000000046,-1.104419020878869,373.31574675324674,0.0,0.0
5,prev_day,all,range_opp,920,0.3630434782608696,0.9169637144685127,-0.23700000000000132,-218.0400000000012,-0.9686527963567232,119.6413043478261,0.18804347826086956,0.5978260869565217
5,prev_day,corr<=0.5,range_opp,550,0.3781818181818182,1.0219892076707737,0.061272727272722344,33.69999999999729,0.1967669313512512,121.23636363636363,0.19636363636363635,0.5818181818181818
5,prev_day,all,none,893,0.5263157894736842,0.8890416377381241,-0.4492049272116506,-401.140000000004,-1.160184289287716,300.0783874580067,0.24636058230683092,0.0
5,asia,all,range_opp,688,0.4069767441860465,0.8015934778580699,-0.5447383720930217,-374.7799999999989,-1.8497102412239264,89.13517441860465,0.29796511627906974,0.561046511627907
5,asia,corr<=0.5,range_opp,410,0.4195121951219512,0.9006117301947866,-0.27104878048780967,-111.13000000000196,-0.4142552188908107,98.01219512195122,0.28780487804878047,0.5463414634146342
5,asia,all,none,669,0.5680119581464873,0.7645810690001815,-0.9486397608370737,-634.6400000000023,-2.1622876005110085,250.53811659192826,0.38863976083707025,0.0
5,london,all,range_opp,918,0.4651416122004357,0.9064641048555258,-0.22233115468409675,-204.10000000000082,-1.279397190974693,67.7124183006536,0.3997821350762527,0.5119825708061002
5,london,corr<=0.5,range_opp,556,0.4784172661870504,1.0466807630643375,0.10839928057553332,60.26999999999652,0.31000661559182996,73.83093525179856,0.4028776978417266,0.49460431654676257
5,london,all,none,897,0.6276477146042363,0.8093372666960383,-0.6657636566332249,-597.1900000000028,-2.0907456307627275,211.7614269788183,0.5061315496098104,0.0
5,prev_hour,all,range_opp,673,0.5141158989598811,0.8085602052958315,-0.3968350668647803,-267.06999999999715,-2.785534673963079,40.23774145616642,0.4918276374442793,0.4710252600297177
5,prev_hour,corr<=0.5,range_opp,411,0.5158150851581509,0.8528022232515076,-0.3092944038929389,-127.11999999999787,-1.770636056279565,43.990267639902676,0.49391727493917276,0.46472019464720193
5,prev_hour,all,none,666,0.6771771771771772,0.7097838175838561,-0.9129129129129107,-607.9999999999985,-3.093072668659774,165.0,0.6261261261261262,0.0
5,measured_move,all,range_opp,1273,0.5687352710133543,0.8487925738498161,-0.3159308719560073,-402.1799999999973,-2.6191940579401547,32.55695208169678,0.5640219952867243,0.4147682639434407
5,measured_move,corr<=0.5,range_opp,772,0.5712435233160622,0.8497753994943446,-0.31709844559584943,-244.79999999999575,-2.121727758381993,32.58419689119171,0.5686528497409327,0.40932642487046633
5,measured_move,all,none,1262,0.7297939778129953,0.8304879365574488,-0.44782884310618454,-565.1600000000049,-2.220901394520457,133.45087163232964,0.7155309033280507,0.0
15,ny+60m,all,range_opp,1125,0.42933333333333334,0.8654165826556445,-0.26699555555555576,-300.37000000000023,-1.820903156277932,28.08888888888889,0.0,0.15466666666666667
15,ny+60m,corr<=0.5,range_opp,676,0.4393491124260355,0.9303816395856148,-0.13430473372781648,-90.79000000000394,-1.0317619661653912,28.402366863905325,0.0,0.15532544378698224
15,ny+60m,all,none,1125,0.43822222222222224,0.8830106846777648,-0.2301777777777794,-258.9500000000018,-1.5399027859429117,31.24888888888889,0.0,0.0
