date,prior_me,mtd,D_gold,fix_ny,mismatch
2012-01-31,2011-12-30,0.0475,1,11:00,False
2012-02-29,2012-01-31,0.0506,1,11:00,False
2012-03-30,2012-02-29,0.0306,1,11:00,False
2012-04-30,2012-03-30,-0.0091,-1,11:00,False
2012-05-31,2012-04-30,-0.0654,-1,11:00,False
2012-06-29,2012-05-31,0.0318,1,11:00,False
2012-07-31,2012-06-29,0.016,1,11:00,False
2012-08-31,2012-07-31,0.0215,1,11:00,False
2012-09-28,2012-08-31,0.0221,1,11:00,False
2012-10-31,2012-09-28,-0.017,-1,12:00,True
2012-11-30,2012-10-31,0.0043,1,11:00,False
2012-12-31,2012-11-30,-0.0061,-1,11:00,False
2013-01-31,2012-12-31,0.0638,1,11:00,False
2013-02-28,2013-01-31,0.0148,1,11:00,False
2013-03-28,2013-02-28,0.0323,1,12:00,True
2013-04-30,2013-03-28,0.0129,1,11:00,False
2013-05-31,2013-04-30,0.0359,1,11:00,False
2013-06-28,2013-05-31,-0.0178,-1,11:00,False
2013-07-31,2013-06-28,0.0549,1,11:00,False
2013-08-30,2013-07-31,-0.0326,-1,11:00,False
2013-09-30,2013-08-30,0.0283,1,11:00,False
2013-10-31,2013-09-30,0.0457,1,12:00,True
2013-11-29,2013-10-31,0.0319,1,11:00,False
2013-12-31,2013-11-29,0.0216,1,11:00,False
2014-01-31,2013-12-31,-0.0402,-1,11:00,False
2014-02-28,2014-01-31,0.0453,1,11:00,False
2014-03-31,2014-02-28,0.0063,1,11:00,False
2014-04-30,2014-03-31,0.0007,1,11:00,False
2014-05-30,2014-04-30,0.0189,1,11:00,False
2014-06-30,2014-05-30,0.0192,1,11:00,False
2014-07-31,2014-06-30,-0.0035,-1,11:00,False
2014-08-29,2014-07-31,0.0355,1,11:00,False
2014-09-30,2014-08-29,-0.0143,-1,11:00,False
2014-10-31,2014-09-30,0.0184,1,12:00,True
2014-11-28,2014-10-31,0.0281,1,11:00,False
2014-12-31,2014-11-28,0.0067,1,11:00,False
2015-01-30,2014-12-31,-0.0309,-1,11:00,False
2015-02-27,2015-01-30,0.0573,1,11:00,False
2015-03-31,2015-02-27,-0.0133,-1,11:00,False
2015-04-30,2015-03-31,0.012,1,11:00,False
2015-05-29,2015-04-30,0.0163,1,11:00,False
2015-06-30,2015-05-29,-0.0209,-1,11:00,False
2015-07-31,2015-06-30,0.0214,1,11:00,False
2015-08-31,2015-07-31,-0.064,-1,11:00,False
2015-09-30,2015-08-31,-0.0319,-1,11:00,False
2015-10-30,2015-09-30,0.088,1,12:00,True
2015-11-30,2015-10-30,0.0042,1,11:00,False
2015-12-31,2015-11-30,-0.0141,-1,11:00,False
2016-01-29,2015-12-31,-0.0713,-1,11:00,False
2016-02-29,2016-01-29,0.0054,1,11:00,False
2016-03-31,2016-02-29,0.0694,1,11:00,False
2016-04-29,2016-03-31,0.0013,1,11:00,False
2016-05-31,2016-04-29,0.0177,1,11:00,False
2016-06-30,2016-05-31,-0.0119,-1,11:00,False
2016-07-29,2016-06-30,0.0325,1,11:00,False
2016-08-31,2016-07-29,-0.0005,-1,11:00,False
2016-09-30,2016-08-31,-0.0058,-1,11:00,False
2016-10-31,2016-09-30,-0.0181,-1,12:00,True
2016-11-30,2016-10-31,0.04,1,11:00,False
