date,fix_utc,fix_ny,active_bars_pm30,mtd_T1,tm1,spx_src,D,dose2pct,quarter_end
2022-04-29,15:00,11:00,60,-0.0638521912884359,2022-04-28,CFD/CFD,-1,True,False
2022-05-31,15:00,11:00,60,0.00249143697856481,2022-05-30,CFD/CFD,1,False,False
2022-06-30,15:00,11:00,60,-0.08034103342327678,2022-06-29,CFD/CFD,-1,True,True
2022-07-29,15:00,11:00,60,0.07345108081163682,2022-07-28,CFD/CFD,1,True,False
2022-08-31,15:00,11:00,60,-0.03807751349302615,2022-08-30,CFD/CFD,-1,True,False
2022-09-30,15:00,11:00,60,-0.0925980608251721,2022-09-29,CFD/CFD,-1,True,True
2022-10-31,16:00,12:00,60,0.07776185431226051,2022-10-28,CFD/CFD,1,True,False
2022-11-30,16:00,11:00,60,0.020021609072258546,2022-11-29,CFD/CFD,1,True,False
2022-12-30,16:00,11:00,60,-0.05682213796933595,2022-12-29,CFD/CFD,-1,True,True
2023-01-31,16:00,11:00,60,0.04587446573130888,2023-01-30,CFD/CFD,1,True,False
2023-02-28,16:00,11:00,60,-0.02347910202548835,2023-02-27,CFD/CFD,-1,True,False
2023-03-31,15:00,11:00,60,0.020440708191985093,2023-03-30,CFD/CFD,1,True,True
2023-04-28,15:00,11:00,60,0.010961477616169156,2023-04-27,CFD/CFD,1,False,False
2023-05-31,15:00,11:00,60,0.011422414383135487,2023-05-30,CFD/CFD,1,False,False
2023-06-30,15:00,11:00,60,0.04825661209364017,2023-06-29,CFD/CFD,1,True,True
2023-07-31,15:00,11:00,60,0.027560799578871416,2023-07-28,CFD/CFD,1,True,False
2023-08-31,15:00,11:00,60,-0.015088410113488424,2023-08-30,CFD/CFD,-1,False,False
2023-09-29,15:00,11:00,60,-0.04783560107530363,2023-09-28,CFD/CFD,-1,True,True
2023-10-31,16:00,12:00,60,-0.03026814001993169,2023-10-30,CFD/CFD,-1,True,False
2023-11-30,16:00,11:00,60,0.08215150668737467,2023-11-29,CFD/CFD,1,True,False
2023-12-29,16:00,11:00,60,0.048460667316482325,2023-12-28,CFD/CFD,1,True,True
2024-01-31,16:00,11:00,60,0.029699745910411506,2024-01-30,CFD/CFD,1,True,False
2024-02-29,16:00,11:00,60,0.04659415773342036,2024-02-28,CFD/CFD,1,True,False
2024-03-29,16:00,12:00,55,0.034691365088947025,2024-03-28,CFD/CFD,1,True,True
2024-04-30,15:00,11:00,60,-0.029203092267076097,2024-04-29,CFD/CFD,-1,True,False
2024-05-31,15:00,11:00,60,0.03616462940085316,2024-05-30,CFD/CFD,1,True,False
2024-06-28,15:00,11:00,60,0.04870449834084072,2024-06-27,CFD/CFD,1,True,True
2024-07-31,15:00,11:00,60,-0.007765464564459904,2024-07-30,CFD/CFD,-1,False,False
2024-08-30,15:00,11:00,60,0.00783586433461076,2024-08-29,CFD/CFD,1,False,False
2024-09-30,15:00,11:00,60,0.02128922275076541,2024-09-27,CFD/IBKR,1,True,True
2024-10-31,16:00,12:00,60,0.008844103378967728,2024-10-30,IBKR/IBKR,1,False,False
2024-11-29,16:00,11:00,60,0.050127588794610656,2024-11-27,IBKR/IBKR,1,True,False
2024-12-31,16:00,11:00,60,-0.021013695235699584,2024-12-30,IBKR/IBKR,-1,True,True
2025-01-31,16:00,11:00,60,0.031717403353807565,2025-01-30,IBKR/IBKR,1,True,False
2025-02-28,16:00,11:00,60,-0.03007427064741722,2025-02-27,IBKR/IBKR,-1,True,False
2025-03-31,15:00,11:00,60,-0.06479001523891913,2025-03-28,IBKR/IBKR,-1,True,True
2025-04-30,15:00,11:00,60,-0.009133055747150058,2025-04-29,IBKR/IBKR,-1,False,False
2025-05-30,15:00,11:00,60,0.05978665983031663,2025-05-29,IBKR/IBKR,1,True,False
2025-06-30,15:00,11:00,60,0.04326453650548386,2025-06-27,IBKR/IBKR,1,True,True
2025-07-31,15:00,11:00,60,0.02513688766348284,2025-07-30,IBKR/IBKR,1,True,False
2025-08-29,15:00,11:00,60,0.025305740504361594,2025-08-28,IBKR/IBKR,1,True,False
2025-09-30,15:00,11:00,60,0.030631585069248485,2025-09-29,IBKR/IBKR,1,True,True
2025-10-31,16:00,12:00,60,0.01981886819002956,2025-10-30,IBKR/IBKR,1,False,False
2025-11-28,16:00,11:00,60,-0.004041664325072045,2025-11-26,IBKR/IBKR,-1,False,False
2025-12-31,16:00,11:00,60,0.0068605388061128625,2025-12-30,IBKR/IBKR,1,False,True
2026-01-30,16:00,11:00,60,0.017881675289780026,2026-01-29,IBKR/IBKR,1,False,False
2026-02-27,16:00,11:00,60,-0.004357349420770256,2026-02-26,IBKR/IBKR,-1,False,False
2026-03-31,15:00,11:00,60,-0.08099050082889471,2026-03-30,IBKR/IBKR,-1,True,True
2026-04-30,15:00,11:00,60,0.08896511717459202,2026-04-29,IBKR/IBKR,1,True,False
2026-05-29,15:00,11:00,60,0.04801960110585987,2026-05-28,IBKR/IBKR,1,True,False
2026-06-30,15:00,11:00,60,-0.018592472316416534,2026-06-29,IBKR/IBKR,-1,False,True
2026-07-31,15:00,11:00,60,-0.008265433857246379,2026-07-30,IBKR/IBKR,-1,False,False
2026-08-31,15:00,11:00,60,0.029215022839257025,2026-08-28,IBKR/IBKR,1,True,False
